Dikarya, Ascomycota, Pezizomycotina, Sordariomycetes, Sordariales, Sordariaceae, Neurospora intermedia,, NC_000843
Dikarya, Ascomycota, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Saccharomyces cerevisiae S288C,, NC_001224
Dikarya, Ascomycota, Taphrinomycotina, Schizosaccharomycetes, Schizosaccharomycetales, Schizosaccharomycetaceae, Schizosaccharomyces pombe,, NC_001326
Dikarya, Ascomycota, Pezizomycotina, Sordariomycetes, Sordariales, Chaetomiaceae, Podospora anserina,, NC_001329
Dikarya, Ascomycota, Pezizomycotina, Sordariomycetes, Sordariales, Sordariaceae, Neurospora crassa,, NC_001570
Dikarya, Ascomycota, Pezizomycotina, Sordariomycetes, Sordariales, Sordariaceae, Neurospora intermedia,, NC_001571
Blastocladiomycota, Blastocladiomycota, , Blastocladiomycetes, Blastocladiales, Blastocladiaceae, Allomyces macrogynus,, NC_001715
Dikarya, Ascomycota, Saccharomycotina, Saccharomycetes, Saccharomycetales, Phaffomycetaceae, Wickerhamomyces canadensis,, NC_001762
Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricales, Pleurotaceae, Pleurotus ostreatus,, NC_002135
Dikarya, Ascomycota, Pezizomycotina, Sordariomycetes, Diaporthales, Cryphonectriaceae, Cryphonectria parasitica,, NC_002364
Dikarya, Ascomycota, Saccharomycotina, Saccharomycetes, Saccharomycetales, Debaryomycetaceae, Candida albicans SC5314,, NC_002653
Dikarya, Ascomycota, Saccharomycotina, Saccharomycetes, Saccharomycetales, Dipodascaceae, Yarrowia lipolytica,, NC_002659
Chytridiomycota, Chytridiomycota, , Monoblepharidomycetes, Monoblepharidales, , Hyaloraphidium curvatum,, NC_003048
Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricales, Schizophyllaceae, Schizophyllum commune,, NC_003049
Chytridiomycota, Chytridiomycota, , Chytridiomycetes, Spizellomycetales, Spizellomycetaceae, Spizellomyces punctatus,, NC_003052
